iter	Passed	Remaining
402	11632	17231
403	11659	17200
404	11687	17170
405	11714	17138
406	11742	17109
407	11769	17077
408	11799	17050
409	11826	17018
410	11855	16989
411	11886	16963
412	11918	16940
413	11950	16914
414	11979	16886
415	12008	16858
416	12038	16831
417	12067	16802
418	12098	16776
419	12129	16749
420	12159	16723
421	12188	16693
422	12218	16666
423	12246	16636
424	12275	16608
425	12304	16578
426	12333	16550
427	12362	16521
428	12390	16491
429	12418	16461
430	12446	16431
431	12475	16403
432	12503	16373
433	12531	16343
434	12559	16312
435	12586	16281
436	12613	16249
437	12640	16219
438	12679	16202
439	12707	16173
440	12735	16142
441	12762	16111
442	12789	16081
443	12816	16049
444	12844	16020
445	12873	15991
446	12902	15961
447	12929	15930
448	12957	15901
449	12985	15870
450	13012	15840
451	13040	15810
452	13068	15779
453	13095	15749
454	13122	15717
455	13150	15688
456	13177	15657
457	13205	15627
458	13233	15597
459	13261	15567
460	13289	15537
461	13316	15507
462	13344	15477
463	13372	15447
464	13401	15419
465	13430	15390
466	13459	15361
467	13486	15330
468	13514	15301
469	13542	15271
470	13569	15240
471	13597	15210
472	13625	15181
473	13652	15150
474	13681	15121
475	13709	15091
476	13738	15062
477	13765	15033
478	13806	15017
479	13834	14987
480	13862	14957
481	13890	14927
482	13917	14897
483	13945	14867
484	13973	14837
485	14001	14807
486	14029	14778
487	14056	14748
488	14084	14718
489	14113	14689
490	14141	14659
491	14169	14630
492	14195	14598
493	14242	14588
494	14280	14569
495	14317	14548
496	14344	14518
497	14372	14488
498	14400	14458
499	14427	14427
500	14454	14396
501	14481	14366
502	14509	14336
503	14537	14306
504	14565	14276
505	14592	14246
506	14619	14215
507	14647	14186
508	14675	14156
509	14703	14127
510	14731	14097
511	14759	14067
512	14787	14038
513	14815	14008
514	14843	13978
515	14870	13948
516	14898	13918
517	14925	13888
518	14953	13859
519	14981	13829
520	15009	13799
521	15036	13769
522	15064	13739
523	15112	13727
524	15140	13698
525	15168	13668
526	15195	13638
527	15223	13608
528	15252	13579
529	15278	13549
530	15307	13519
531	15333	13489
532	15362	13459
533	15389	13429
534	15416	13399
535	15447	13372
536	15476	13343
537	15503	13313
538	15532	13284
539	15559	13254
540	15587	13224
541	15615	13195
542	15642	13165
543	15670	13135
544	15697	13105
545	15725	13075
546	15754	13047
547	15782	13017
548	15809	12987
549	15836	12957
550	15864	12928
551	15892	12898
552	15920	12869
553	15948	12839
554	15976	12809
555	16003	12779
556	16030	12749
557	16059	12720
558	16086	12690
559	16121	12666
560	16148	12637
561	16176	12607
562	16214	12585
563	16240	12555
564	16268	12525
565	16295	12494
566	16323	12465
567	16350	12435
568	16378	12406
569	16405	12376
570	16433	12346
571	16460	12316
572	16487	12286
573	16514	12256
574	16542	12227
575	16570	12197
576	16606	12174
577	16633	12144
578	16660	12114
579	16687	12084
580	16714	12054
581	16743	12025
582	16770	11995
583	16798	11966
584	16825	11936
585	16854	11907
586	16892	11885
587	16920	11855
588	16948	11826
589	16975	11796
590	17003	11767
591	17031	11737
592	17059	11708
593	17087	11679
594	17115	11649
595	17143	11620
596	17171	11591
597	17199	11562
598	17230	11535
599	17258	11505
600	17286	11476
601	17314	11447
602	17342	11418
603	17370	11388
604	17399	11359
605	17427	11330
606	17454	11301
607	17481	11271
608	17509	11241
609	17537	11212
610	17565	11183
611	17592	11153
612	17620	11123
613	17647	11094
614	17674	11064
615	17701	11034
616	17729	11005
617	17757	10976
618	17784	10946
619	17812	10917
620	17842	10889
621	17869	10859
622	17896	10830
623	17924	10800
624	17952	10771
625	17979	10741
626	18007	10712
627	18035	10683
628	18062	10654
629	18090	10624
630	18118	10595
631	18146	10566
632	18185	10543
633	18213	10514
634	18240	10484
635	18268	10455
636	18295	10425
637	18324	10397
638	18352	10368
639	18384	10341
640	18412	10311
641	18449	10287
642	18477	10258
643	18505	10229
644	18532	10199
645	18562	10172
646	18590	10142
647	18618	10113
648	18646	10084
649	18674	10055
650	18701	10026
651	18729	9996
652	18756	9967
653	18785	9938
654	18813	9909
655	18841	9880
656	18869	9851
657	18897	9822
658	18924	9792
659	18952	9763
660	18979	9733
661	19007	9704
662	19035	9675
663	19062	9646
664	19089	9616
665	19117	9587
666	19145	9558
667	19172	9528
668	19199	9499
669	19227	9470
670	19255	9441
671	19283	9412
672	19310	9382
673	19338	9353
674	19367	9324
675	19394	9295
676	19421	9266
677	19447	9236
678	19474	9206
679	19501	9177
680	19530	9148
681	19557	9119
682	19591	9092
683	19618	9063
684	19646	9034
685	19674	9005
686	19701	8976
687	19730	8947
688	19758	8918
689	19800	8895
690	19828	8866
691	19856	8837
692	19883	8808
693	19910	8779
694	19938	8750
695	19965	8720
696	19993	8691
697	20021	8662
698	20049	8633
699	20077	8604
700	20105	8575
701	20132	8546
702	20160	8517
703	20189	8488
704	20217	8459
705	20276	8443
706	20304	8414
707	20332	8385
708	20361	8357
709	20389	8328
710	20417	8299
711	20445	8270
712	20472	8240
713	20499	8211
714	20525	8181
715	20553	8152
716	20581	8123
717	20609	8094
718	20636	8065
719	20663	8035
720	20691	8006
721	20719	7977
722	20753	7951
723	20782	7922
724	20810	7893
725	20837	7864
726	20865	7835
727	20892	7806
728	20919	7776
729	20947	7747
730	20975	7718
731	21002	7689
732	21030	7660
733	21058	7631
734	21086	7602
735	21115	7573
736	21142	7544
737	21171	7516
738	21198	7486
739	21228	7458
740	21255	7429
741	21283	7400
742	21310	7371
743	21339	7342
744	21368	7313
745	21396	7284
746	21423	7256
747	21451	7226
748	21479	7198
749	21506	7168
750	21534	7139
751	21560	7110
752	21588	7081
753	21616	7052
754	21643	7023
755	21671	6994
756	21698	6965
757	21726	6936
758	21753	6907
759	21780	6878
760	21808	6849
761	21835	6820
762	21863	6791
763	21923	6772
764	21951	6743
765	21978	6714
766	22022	6690
767	22049	6660
768	22077	6631
769	22104	6602
770	22131	6573
771	22160	6544
772	22191	6516
773	22221	6488
774	22249	6459
775	22277	6430
776	22306	6402
777	22334	6372
778	22362	6344
779	22388	6314
780	22415	6285
781	22442	6256
782	22469	6227
783	22497	6198
784	22524	6169
785	22561	6142
786	22588	6113
787	22615	6084
788	22643	6055
789	22670	6026
790	22697	5997
791	22725	5968
792	22752	5939
793	22780	5910
794	22808	5881
795	22835	5852
796	22877	5827
797	22904	5797
798	22932	5768
799	22960	5740
800	22990	5711
801	23017	5682
802	23044	5653
803	23071	5624
804	23100	5595
805	23127	5566
806	23155	5537
807	23192	5511
808	23219	5482
809	23247	5453
810	23275	5424
811	23303	5395
812	23331	5366
813	23359	5337
814	23387	5308
815	23413	5279
816	23442	5250
817	23470	5222
818	23498	5193
819	23526	5164
820	23554	5135
821	23581	5106
822	23609	5077
823	23637	5048
824	23663	5019
825	23691	4990
826	23718	4961
827	23746	4932
828	23774	4904
829	23802	4875
830	23829	4846
831	23857	4817
832	23884	4788
833	23912	4759
834	23939	4730
835	23967	4701
836	23995	4672
837	24023	4644
838	24051	4615
839	24079	4586
840	24106	4557
841	24134	4528
842	24162	4499
843	24188	4470
844	24215	4441
845	24242	4413
846	24270	4384
847	24298	4355
848	24326	4326
849	24355	4298
850	24382	4269
851	24410	4240
852	24437	4211
853	24464	4182
854	24492	4153
855	24521	4125
856	24548	4096
857	24577	4067
858	24604	4038
859	24632	4009
860	24659	3981
861	24687	3952
862	24714	3923
863	24742	3894
864	24769	3865
865	24797	3837
866	24825	3808
867	24852	3779
868	24880	3750
869	24907	3721
870	24935	3693
871	24980	3666
872	25008	3638
873	25041	3610
874	25070	3581
875	25097	3552
876	25141	3526
877	25167	3497
878	25195	3468
879	25224	3439
880	25251	3410
881	25278	3381
882	25304	3352
883	25331	3324
884	25363	3295
885	25390	3266
886	25417	3238
887	25445	3209
888	25473	3180
889	25500	3151
890	25529	3123
891	25557	3094
892	25588	3065
893	25617	3037
894	25645	3008
895	25673	2980
896	25701	2951
897	25731	2922
898	25758	2893
899	25812	2868
900	25840	2839
901	25868	2810
902	25898	2781
903	25925	2753
904	25966	2725
905	25993	2696
906	26020	2668
907	26049	2639
908	26077	2610
909	26104	2581
910	26133	2553
911	26161	2524
912	26191	2495
913	26219	2467
914	26247	2438
915	26274	2409
916	26303	2380
917	26331	2352
918	26361	2323
919	26390	2294
920	26418	2266
921	26446	2237
922	26473	2208
923	26501	2179
924	26529	2151
925	26556	2122
926	26585	2093
927	26613	2064
928	26641	2036
929	26669	2007
930	26697	1978
931	26724	1949
932	26752	1921
933	26780	1892
934	26807	1863
935	26834	1834
936	26862	1806
937	26890	1777
938	26917	1748
939	26944	1719
940	26971	1691
941	27000	1662
942	27028	1633
943	27056	1605
944	27084	1576
